Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2013-07-13,13,july,2013,43,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,10,45,120,726,450,1176
2015-07-13,13,july,2015,43,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,10,45,120,726,450,1176
2014-03-31,31,march,2014,43,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,11,45,120,799,495,1294
2016-03-31,31,march,2016,43,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,11,45,120,799,495,1294
2013-08-28,28,august,2013,61,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,8,45,120,581,360,941
2015-08-28,28,august,2015,61,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,10,45,120,726,450,1176
2013-08-27,27,august,2013,57,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,2,45,120,148,90,238
2015-08-27,27,august,2015,57,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2013-11-17,17,november,2013,29,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,12,45,120,886,540,1426
2015-11-17,17,november,2015,29,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,14,45,120,1033,630,1663
2013-08-07,7,august,2013,38,adults (35-64),m,germany,saarland,accessories,bike racks,hitch rack - 4-bike,3,45,120,160,135,295
2015-08-07,7,august,2015,38,adults (35-64),m,germany,saarland,accessories,bike racks,hitch rack - 4-bike,1,45,120,53,45,98
2013-07-15,15,july,2013,52,adults (35-64),f,france,seine saint denis,accessories,bike racks,hitch rack - 4-bike,8,45,120,427,360,787
2015-07-15,15,july,2015,52,adults (35-64),f,france,seine saint denis,accessories,bike racks,hitch rack - 4-bike,8,45,120,427,360,787
2013-08-17,17,august,2013,43,adults (35-64),f,france,moselle,accessories,bike racks,hitch rack - 4-bike,28,45,120,1697,1260,2957
2015-08-17,17,august,2015,43,adults (35-64),f,france,moselle,accessories,bike racks,hitch rack - 4-bike,27,45,120,1636,1215,2851
2013-07-17,17,july,2013,24,youth (<25),f,australia,queensland,accessories,bike racks,hitch rack - 4-bike,9,45,120,502,405,907
2015-07-17,17,july,2015,24,youth (<25),f,australia,queensland,accessories,bike racks,hitch rack - 4-bike,6,45,120,335,270,605
2013-12-31,31,december,2013,23,youth (<25),m,united states,california,accessories,bike racks,hitch rack - 4-bike,6,45,120,436,270,706
2015-12-31,31,december,2015,23,youth (<25),m,united states,california,accessories,bike racks,hitch rack - 4-bike,7,45,120,508,315,823
2013-09-17,17,september,2013,29,young adults (25-34),f,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,15,45,120,1053,675,1728
2015-09-17,17,september,2015,29,young adults (25-34),f,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,15,45,120,1053,675,1728
2013-09-24,24,september,2013,32,young adults (25-34),m,france,nord,accessories,bike racks,hitch rack - 4-bike,6,45,120,356,270,626
2015-09-24,24,september,2015,32,young adults (25-34),m,france,nord,accessories,bike racks,hitch rack - 4-bike,3,45,120,178,135,313
2013-09-25,25,september,2013,19,youth (<25),f,germany,saarland,accessories,bike racks,hitch rack - 4-bike,6,45,120,320,270,590
2015-09-25,25,september,2015,19,youth (<25),f,germany,saarland,accessories,bike racks,hitch rack - 4-bike,8,45,120,427,360,787
2013-11-26,26,november,2013,26,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,7,45,120,517,315,832
2015-11-26,26,november,2015,26,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,8,45,120,590,360,950
2013-08-03,3,august,2013,35,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2015-08-03,3,august,2015,35,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2014-06-19,19,june,2014,35,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,10,45,120,738,450,1188
2016-06-19,19,june,2016,35,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,12,45,120,886,540,1426
2014-03-04,4,march,2014,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,4,45,120,290,180,470
2016-03-04,4,march,2016,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,3,45,120,218,135,353
2014-05-30,30,may,2014,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,2,45,120,145,90,235
2016-05-30,30,may,2016,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,2,45,120,145,90,235
2014-06-28,28,june,2014,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,10,45,120,726,450,1176
2016-06-28,28,june,2016,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,7,45,120,508,315,823
2014-07-10,10,july,2014,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,13,45,120,944,585,1529
2016-07-10,10,july,2016,38,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,12,45,120,871,540,1411
2014-03-12,12,march,2014,54,adults (35-64),f,australia,queensland,accessories,bike racks,hitch rack - 4-bike,7,45,120,391,315,706
2016-03-12,12,march,2016,54,adults (35-64),f,australia,queensland,accessories,bike racks,hitch rack - 4-bike,6,45,120,335,270,605
2013-09-03,3,september,2013,51,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,7,45,120,340,315,655
2015-09-03,3,september,2015,51,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,9,45,120,437,405,842
2014-03-26,26,march,2014,47,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,6,45,120,436,270,706
2016-03-26,26,march,2016,47,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,4,45,120,290,180,470
2014-05-04,4,may,2014,47,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,17,45,120,1234,765,1999
2016-05-04,4,may,2016,47,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,16,45,120,1162,720,1882
2014-02-04,4,february,2014,46,adults (35-64),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,1,45,120,49,45,94
2016-02-04,4,february,2016,46,adults (35-64),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,3,45,120,146,135,281
2013-11-06,6,november,2013,46,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,5,45,120,363,225,588
2015-11-06,6,november,2015,46,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,4,45,120,290,180,470
2014-02-12,12,february,2014,46,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,30,45,120,2178,1350,3528
2016-02-12,12,february,2016,46,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,27,45,120,1960,1215,3175
2014-05-17,17,may,2014,46,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,5,45,120,363,225,588
2016-05-17,17,may,2016,46,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,2,45,120,145,90,235
2013-09-23,23,september,2013,41,adults (35-64),f,germany,hessen,accessories,bike racks,hitch rack - 4-bike,28,45,120,1865,1260,3125
2015-09-23,23,september,2015,41,adults (35-64),f,germany,hessen,accessories,bike racks,hitch rack - 4-bike,29,45,120,1931,1305,3236
2013-09-20,20,september,2013,32,young adults (25-34),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,3,45,120,146,135,281
2015-09-20,20,september,2015,32,young adults (25-34),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,1,45,120,49,45,94
2013-10-25,25,october,2013,32,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,8,45,120,581,360,941
2015-10-25,25,october,2015,32,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,9,45,120,653,405,1058
2014-05-11,11,may,2014,32,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,26,45,120,1888,1170,3058
2016-05-11,11,may,2016,32,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,27,45,120,1960,1215,3175
2013-09-29,29,september,2013,33,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,5,45,120,369,225,594
2015-09-29,29,september,2015,33,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,3,45,120,221,135,356
2014-05-16,16,may,2014,33,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,15,45,120,1107,675,1782
2016-05-16,16,may,2016,33,young adults (25-34),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,15,45,120,1107,675,1782
2014-05-23,23,may,2014,42,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,1,45,120,73,45,118
2016-05-23,23,may,2016,42,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,3,45,120,218,135,353
2013-08-06,6,august,2013,42,adults (35-64),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,17,45,120,989,765,1754
2015-08-06,6,august,2015,42,adults (35-64),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,16,45,120,931,720,1651
2013-10-14,14,october,2013,43,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,10,45,120,486,450,936
2015-10-14,14,october,2015,43,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,10,45,120,486,450,936
2013-12-06,6,december,2013,43,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,10,45,120,486,450,936
2015-12-06,6,december,2015,43,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,9,45,120,437,405,842
2013-12-18,18,december,2013,45,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,3,45,120,146,135,281
2015-12-18,18,december,2015,45,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,2,45,120,97,90,187
2013-09-13,13,september,2013,53,adults (35-64),m,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,4,45,120,281,180,461
2015-09-13,13,september,2015,53,adults (35-64),m,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,2,45,120,140,90,230
2013-10-27,27,october,2013,21,youth (<25),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,3,45,120,149,135,284
2015-10-27,27,october,2015,21,youth (<25),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,1,45,120,50,45,95
2014-01-02,2,january,2014,34,young adults (25-34),f,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,5,45,120,297,225,522
2016-01-02,2,january,2016,34,young adults (25-34),f,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,3,45,120,178,135,313
2014-05-10,10,may,2014,22,youth (<25),f,united states,california,accessories,bike racks,hitch rack - 4-bike,1,45,120,73,45,118
2016-05-10,10,may,2016,22,youth (<25),f,united states,california,accessories,bike racks,hitch rack - 4-bike,1,45,120,73,45,118
2014-04-27,27,april,2014,67,seniors (64+),f,united states,california,accessories,bike racks,hitch rack - 4-bike,2,45,120,145,90,235
2016-04-27,27,april,2016,67,seniors (64+),f,united states,california,accessories,bike racks,hitch rack - 4-bike,1,45,120,73,45,118
2013-12-22,22,december,2013,31,young adults (25-34),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,3,45,120,146,135,281
2015-12-22,22,december,2015,31,young adults (25-34),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,5,45,120,243,225,468
2013-11-28,28,november,2013,31,young adults (25-34),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,12,45,120,698,540,1238
2015-11-28,28,november,2015,31,young adults (25-34),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,12,45,120,698,540,1238
2014-07-28,28,july,2014,37,adults (35-64),m,france,nord,accessories,bike racks,hitch rack - 4-bike,4,45,120,238,180,418
2016-07-28,28,july,2016,37,adults (35-64),m,france,nord,accessories,bike racks,hitch rack - 4-bike,3,45,120,178,135,313
2014-04-13,13,april,2014,26,young adults (25-34),m,australia,queensland,accessories,bike racks,hitch rack - 4-bike,5,45,120,279,225,504
2016-04-13,13,april,2016,26,young adults (25-34),m,australia,queensland,accessories,bike racks,hitch rack - 4-bike,7,45,120,391,315,706
2014-02-19,19,february,2014,87,seniors (64+),f,germany,saarland,accessories,bike racks,hitch rack - 4-bike,2,45,120,107,90,197
2016-02-19,19,february,2016,87,seniors (64+),f,germany,saarland,accessories,bike racks,hitch rack - 4-bike,3,45,120,160,135,295
2013-12-09,9,december,2013,25,young adults (25-34),f,germany,nordrhein-westfalen,accessories,bike racks,hitch rack - 4-bike,2,45,120,119,90,209
2015-12-09,9,december,2015,25,young adults (25-34),f,germany,nordrhein-westfalen,accessories,bike racks,hitch rack - 4-bike,3,45,120,178,135,313
2014-05-17,17,may,2014,31,young adults (25-34),f,germany,hamburg,accessories,bike racks,hitch rack - 4-bike,3,45,120,200,135,335
2016-05-17,17,may,2016,31,young adults (25-34),f,germany,hamburg,accessories,bike racks,hitch rack - 4-bike,2,45,120,133,90,223
2014-06-06,6,june,2014,32,young adults (25-34),f,france,loir et cher,accessories,bike racks,hitch rack - 4-bike,5,45,120,309,225,534
2016-06-06,6,june,2016,32,young adults (25-34),f,france,loir et cher,accessories,bike racks,hitch rack - 4-bike,7,45,120,433,315,748
2013-08-18,18,august,2013,25,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,2,45,120,148,90,238
2015-08-18,18,august,2015,25,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,3,45,120,221,135,356
2013-09-20,20,september,2013,26,young adults (25-34),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,10,45,120,486,450,936
2015-09-20,20,september,2015,26,young adults (25-34),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,9,45,120,437,405,842
2013-12-29,29,december,2013,26,young adults (25-34),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,5,45,120,243,225,468
2015-12-29,29,december,2015,26,young adults (25-34),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,2,45,120,97,90,187
2014-03-30,30,march,2014,33,young adults (25-34),m,australia,queensland,accessories,bike racks,hitch rack - 4-bike,8,45,120,446,360,806
2016-03-30,30,march,2016,33,young adults (25-34),m,australia,queensland,accessories,bike racks,hitch rack - 4-bike,8,45,120,446,360,806
2013-11-09,9,november,2013,29,young adults (25-34),f,united states,oregon,accessories,bike racks,hitch rack - 4-bike,7,45,120,407,315,722
2015-11-09,9,november,2015,29,young adults (25-34),f,united states,oregon,accessories,bike racks,hitch rack - 4-bike,8,45,120,466,360,826
2013-12-31,31,december,2013,24,youth (<25),f,united states,oregon,accessories,bike racks,hitch rack - 4-bike,5,45,120,291,225,516
2015-12-31,31,december,2015,24,youth (<25),f,united states,oregon,accessories,bike racks,hitch rack - 4-bike,7,45,120,407,315,722
2013-08-30,30,august,2013,31,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,7,45,120,508,315,823
2015-08-30,30,august,2015,31,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,6,45,120,436,270,706
2013-11-04,4,november,2013,40,adults (35-64),m,united states,kentucky,accessories,bike racks,hitch rack - 4-bike,1,45,120,63,45,108
2015-11-04,4,november,2015,40,adults (35-64),m,united states,kentucky,accessories,bike racks,hitch rack - 4-bike,1,45,120,63,45,108
2014-01-31,31,january,2014,44,adults (35-64),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,10,45,120,594,450,1044
2016-01-31,31,january,2016,44,adults (35-64),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,12,45,120,713,540,1253
2014-05-28,28,may,2014,44,adults (35-64),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,4,45,120,238,180,418
2016-05-28,28,may,2016,44,adults (35-64),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,6,45,120,356,270,626
2013-09-07,7,september,2013,21,youth (<25),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,2,45,120,148,90,238
2015-09-07,7,september,2015,21,youth (<25),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2014-04-17,17,april,2014,25,young adults (25-34),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,6,45,120,349,270,619
2016-04-17,17,april,2016,25,young adults (25-34),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,7,45,120,407,315,722
2013-09-29,29,september,2013,25,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,9,45,120,653,405,1058
2015-09-29,29,september,2015,25,young adults (25-34),m,united states,california,accessories,bike racks,hitch rack - 4-bike,9,45,120,653,405,1058
2013-07-31,31,july,2013,29,young adults (25-34),f,united states,california,accessories,bike racks,hitch rack - 4-bike,25,45,120,1815,1125,2940
2015-07-31,31,july,2015,29,young adults (25-34),f,united states,california,accessories,bike racks,hitch rack - 4-bike,22,45,120,1597,990,2587
2013-08-03,3,august,2013,29,young adults (25-34),f,united states,california,accessories,bike racks,hitch rack - 4-bike,11,45,120,799,495,1294
2015-08-03,3,august,2015,29,young adults (25-34),f,united states,california,accessories,bike racks,hitch rack - 4-bike,11,45,120,799,495,1294
2014-02-27,27,february,2014,55,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,2,45,120,97,90,187
2016-02-27,27,february,2016,55,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,1,45,120,49,45,94
2013-09-13,13,september,2013,55,adults (35-64),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,4,45,120,194,180,374
2015-09-13,13,september,2015,55,adults (35-64),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,6,45,120,292,270,562
2014-06-08,8,june,2014,55,adults (35-64),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,9,45,120,437,405,842
2016-06-08,8,june,2016,55,adults (35-64),m,united states,washington,accessories,bike racks,hitch rack - 4-bike,6,45,120,292,270,562
2014-06-05,5,june,2014,55,adults (35-64),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,15,45,120,873,675,1548
2016-06-05,5,june,2016,55,adults (35-64),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,15,45,120,873,675,1548
2013-12-15,15,december,2013,53,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,7,45,120,508,315,823
2015-12-15,15,december,2015,53,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,8,45,120,581,360,941
2014-01-17,17,january,2014,53,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,30,45,120,2178,1350,3528
2016-01-17,17,january,2016,53,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,29,45,120,2105,1305,3410
2014-05-07,7,may,2014,53,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,6,45,120,436,270,706
2016-05-07,7,may,2016,53,adults (35-64),f,united states,california,accessories,bike racks,hitch rack - 4-bike,6,45,120,436,270,706
2013-11-10,10,november,2013,50,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,10,45,120,486,450,936
2015-11-10,10,november,2015,50,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,9,45,120,437,405,842
2013-08-19,19,august,2013,55,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,12,45,120,871,540,1411
2015-08-19,19,august,2015,55,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,9,45,120,653,405,1058
2013-09-18,18,september,2013,55,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,3,45,120,218,135,353
2015-09-18,18,september,2015,55,adults (35-64),m,united states,california,accessories,bike racks,hitch rack - 4-bike,3,45,120,218,135,353
2013-12-14,14,december,2013,59,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,30,45,120,1458,1350,2808
2015-12-14,14,december,2015,59,adults (35-64),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,30,45,120,1458,1350,2808
2014-01-01,1,january,2014,24,youth (<25),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,8,45,120,475,360,835
2016-01-01,1,january,2016,24,youth (<25),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,6,45,120,356,270,626
2014-03-01,1,march,2014,24,youth (<25),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,2,45,120,100,90,190
2016-03-01,1,march,2016,24,youth (<25),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,4,45,120,199,180,379
2014-06-12,12,june,2014,26,young adults (25-34),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,7,45,120,416,315,731
2016-06-12,12,june,2016,26,young adults (25-34),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,4,45,120,238,180,418
2013-12-23,23,december,2013,26,young adults (25-34),m,australia,victoria,accessories,bike racks,hitch rack - 4-bike,6,45,120,299,270,569
2015-12-23,23,december,2015,26,young adults (25-34),m,australia,victoria,accessories,bike racks,hitch rack - 4-bike,7,45,120,349,315,664
2014-07-31,31,july,2014,23,youth (<25),m,germany,saarland,accessories,bike racks,hitch rack - 4-bike,26,45,120,1388,1170,2558
2016-07-31,31,july,2016,23,youth (<25),m,germany,saarland,accessories,bike racks,hitch rack - 4-bike,23,45,120,1228,1035,2263
2014-05-11,11,may,2014,17,youth (<25),m,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,6,45,120,421,270,691
2016-05-11,11,may,2016,17,youth (<25),m,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,8,45,120,562,360,922
2014-06-18,18,june,2014,17,youth (<25),m,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,1,45,120,70,45,115
2016-06-18,18,june,2016,17,youth (<25),m,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,1,45,120,70,45,115
2014-04-20,20,april,2014,31,young adults (25-34),f,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,4,45,120,281,180,461
2016-04-20,20,april,2016,31,young adults (25-34),f,united kingdom,england,accessories,bike racks,hitch rack - 4-bike,6,45,120,421,270,691
2013-12-05,5,december,2013,32,young adults (25-34),f,united states,washington,accessories,bike racks,hitch rack - 4-bike,10,45,120,486,450,936
